date,bitcoin_price,bitcoin_market_cap,bitcoin_volume,ethereum_price,ethereum_market_cap,ethereum_volume
2017-05-05,1551.3,,16888.18805884,91.93,,241440.1723698
2017-05-06,1585.39,,9367.70501254,95.84,,111473.40974383
2017-05-07,1609.57,,11737.5699792,93.82,,146704.7426076
2017-05-08,1713.0,,15894.92006435,89.25,,212998.74977984
2017-05-09,1720.43,,19878.9688314,86.58,,274317.97090647
2017-05-10,1794.99,,13458.24717656,88.36,,143176.40257741
2017-05-11,1837.93,,15726.10460336,88.3,,115231.87479637
2017-05-12,1695.61,,16527.80375242,85.17,,135905.56078613
2017-05-13,1792.73,,12379.99373457,88.42,,88764.58772447
2017-05-14,1799.99,,6806.48511914,89.39,,53063.13338631
2017-05-15,1747.81,,10191.85424893,91.0,,131363.64582398
2017-05-16,1777.48,,11414.50874225,87.98,,127231.00022453
2017-05-17,1813.23,,13813.22143771,86.88,,152795.43726305
2017-05-18,1899.16,,11391.00937384,96.2,,173625.24322665
2017-05-19,1976.23,,18971.77074076,125.14,,484630.316657
2017-05-20,2058.91,,13176.28271359,123.63,,201025.57359568
2017-05-21,2057.0,,17762.48439112,148.78,,324006.43960756
2017-05-22,2123.29,,29431.53634619,160.1,,644273.1716854
2017-05-23,2272.75,,17640.94851589,169.95,,269504.95674999
2017-05-24,2432.97,,24659.73425375,196.06,,361470.85784076
2017-05-25,2355.0,,37194.83761353,181.51,,484975.36393576
2017-05-26,2272.7,,31755.902624,163.8,,442739.38733464
2017-05-27,2099.99,,32466.17123427,159.91,,465437.92029385
2017-05-28,2232.78,,18342.68197108,175.48,,236048.08435851
2017-05-29,2279.48,,16926.34457276,194.82,,218954.39607822
2017-05-30,2191.58,,20915.9999948,228.69,,448799.28541494
2017-05-31,2303.29,,21726.930856,229.14,,350748.08045495
2017-06-01,2419.99,,21390.33504326,221.91,,345620.06538661
2017-06-02,2478.99,,12890.65884371,222.04,,166454.3515687
2017-06-03,2548.05,,13441.88879769,224.95,,110291.48994177
2017-06-04,2521.36,,13820.79309963,245.5,,212990.77161956
2017-06-05,2698.0,,13599.76890434,248.0,,148012.87141512
2017-06-06,2871.29,,28609.64698371,264.22,,321257.13754041
2017-06-07,2685.64,,19476.18369094,255.68,,218451.7317111
2017-06-08,2799.73,,13453.68915971,258.64,,137027.20512509
2017-06-09,2811.39,,11440.33561555,279.38,,191150.05975101
2017-06-10,2931.15,,18734.85190549,340.2,,424269.45519765
2017-06-11,2998.98,,16295.4930364,343.01,,251526.11642898
2017-06-12,2655.71,,38941.18214331,397.37,,535807.37275223
2017-06-13,2709.01,,19716.97419151,388.0,,270476.84967737
2017-06-14,2432.21,,28257.13485767,341.7,,373882.12090848
2017-06-15,2409.98,,42025.04188091,343.71,,750552.70232997
2017-06-16,2480.43,,21891.95771822,354.26,,256375.67115986
2017-06-17,2634.94,,17601.3141096,368.98,,144149.67943169
2017-06-18,2515.25,,13831.60864849,351.85,,156569.03884936
2017-06-19,2596.98,,13928.55868512,358.71,,103120.69222457
2017-06-20,2725.08,,19230.12622071,350.94,,209201.65923438
2017-06-21,2643.35,,18065.09195302,325.41,,441449.72983966
2017-06-22,2679.99,,12179.55378226,320.02,,149181.79483138
2017-06-23,2690.76,,9674.14014661,326.99,,77450.68733618
2017-06-24,2574.84,,12808.47796498,304.5,,131625.76300771
2017-06-25,2505.61,,13739.17133582,278.49,,263539.27127496
2017-06-26,2407.91,,20262.76215295,252.99,,572327.07792308
2017-06-27,2575.75,,22151.51962082,287.23,,469363.14454721
2017-06-28,2553.12,,16240.95462101,315.32,,401411.43973853
2017-06-29,2530.0,,9048.16102048,292.95,,204009.03186533
2017-06-30,2455.19,,11860.9594359,280.04,,232770.11496367
2017-07-01,2423.63,,8448.08879856,263.12,,179041.22371058
2017-07-02,2516.66,,9098.28919886,285.0,,191572.82260716
2017-07-03,2542.41,,10045.8328211,276.37,,126101.36349921
2017-07-04,2602.0,,10680.56522172,269.2,,109679.71817595
2017-07-05,2616.96,,10183.63010323,266.27,,166163.90647145
2017-07-06,2604.84,,8207.99657687,266.01,,86798.37421098
2017-07-07,2501.15,,11640.78157115,241.28,,179643.78239179
2017-07-08,2561.11,,7869.88131277,246.64,,135553.94613742
2017-07-09,2508.99,,5647.43426949,238.81,,71500.75627037
2017-07-10,2331.05,,15554.0050949,202.86,,398041.70357687
2017-07-11,2310.01,,15670.55064724,190.57,,529884.63788858
2017-07-12,2383.42,,13834.47197463,224.04,,417514.89238521
2017-07-13,2340.0,,9541.53943311,205.0,,226699.02590419
2017-07-14,2217.24,,13549.1778099,197.23,,213188.74009561
2017-07-15,1964.31,,16334.68864717,167.72,,261390.37737053
2017-07-16,1911.78,,21740.89274035,155.68,,609640.25747522
2017-07-17,2235.19,,21436.7645371,190.87,,632198.84128556
2017-07-18,2308.15,,23795.59414253,227.01,,871486.85742525
2017-07-19,2258.99,,18567.47611252,194.74,,769832.272328
2017-07-20,2873.48,,36509.30587417,226.06,,616596.49227661
2017-07-21,2657.45,,23062.18542954,216.6,,289938.17184544
2017-07-22,2825.27,,12225.61763679,230.69,,179566.03971823
2017-07-23,2754.28,,10194.97475019,228.31,,115026.49432892
2017-07-24,2762.26,,8105.64511248,225.96,,74988.12540113
2017-07-25,2564.0,,19195.82260736,203.78,,367646.15788578
2017-07-26,2525.99,,13019.03454142,203.23,,212126.71693004
2017-07-27,2664.99,,10034.52706572,202.94,,125511.49297384
2017-07-28,2786.07,,17189.24674204,190.72,,170551.22979694
2017-07-29,2700.21,,9860.13224068,205.9,,273049.87544549
2017-07-30,2723.99,,8460.182768,196.95,,105150.12887105
2017-07-31,2856.88,,11462.1802407,200.82,,117870.21208966
2017-08-01,2732.59,,9772.96947501,225.73,,435806.82462287
2017-08-02,2699.9,,8422.27537735,217.92,,149917.3774405
2017-08-03,2787.02,,7425.95745626,224.0,,113161.87452226
2017-08-04,2857.34,,7714.98047973,220.72,,98579.24462276
2017-08-05,3243.49,,21614.60061123,251.85,,321010.76739422
2017-08-06,3222.22,,8666.20078218,263.96,,239167.77373496
2017-08-07,3398.23,,11325.4162028,269.9,,168723.43057382
2017-08-08,3422.43,,16014.00638269,295.95,,267302.64930407
2017-08-09,3342.8,,13076.14627076,295.26,,465374.56335406
2017-08-10,3444.98,,9348.35914865,300.51,,154431.32113167
2017-08-11,3656.15,,15315.75236128,309.65,,131543.77345794
2017-08-12,3874.0,,18972.1433559,308.35,,175661.18081898
2017-08-13,4060.47,,23522.1419857,296.66,,196015.46006707
2017-08-14,4320.6,,20059.96196841,299.16,,116394.59975549
2017-08-15,4159.93,,32018.16155552,286.71,,213475.96869542
2017-08-16,4370.01,,17969.62620634,300.45,,125548.24950077
2017-08-17,4280.01,,19980.89160504,300.67,,117913.06770258
2017-08-18,4101.72,,20823.05141554,292.87,,132176.43410008
2017-08-19,4157.41,,10502.74082464,293.58,,68015.67500724
2017-08-20,4050.99,,8331.87235879,297.79,,55102.04407497
2017-08-21,4002.0,,12417.65707555,322.0,,312029.89411077
2017-08-22,4092.0,,21922.49731034,314.19,,200165.56685601
2017-08-23,4143.49,,11746.0041498,317.5,,102640.68582938
2017-08-24,4312.03,,10247.98420911,324.56,,77759.33281317
2017-08-25,4360.0,,10918.77972836,330.14,,118403.86049802
2017-08-26,4344.32,,6146.47876206,332.99,,64257.23654457
2017-08-27,4340.11,,7041.34420177,348.2,,94727.24092539
2017-08-28,4384.99,,10452.60382073,347.54,,111495.22073893
2017-08-29,4599.0,,14509.95812379,372.48,,172763.72910699
2017-08-30,4581.98,,10383.4343046,384.1,,164881.8885695
2017-08-31,4743.94,,13628.46777811,389.2,,119008.82851471
2017-09-01,4947.99,,16762.80580838,392.87,,160640.81878876
2017-09-02,4649.99,,19577.18874549,354.87,,293413.40236712
2017-09-03,4626.05,,11569.36076538,353.06,,137268.86305024
2017-09-04,4498.25,,20518.88448285,316.86,,458363.975868
2017-09-05,4432.51,,17315.43019201,320.08,,318353.88523581
2017-09-06,4616.18,,16174.30433105,339.38,,194966.28863943
2017-09-07,4624.18,,8455.04147983,335.56,,103175.36266456
2017-09-08,4350.0,,22102.7184586,307.96,,299196.18205446
2017-09-09,4334.36,,10073.89558667,304.99,,97356.16715522
2017-09-10,4251.36,,10078.69985674,300.33,,123364.47278542
2017-09-11,4210.72,,9068.25507562,298.47,,131872.4413353
2017-09-12,4164.52,,12373.3985777,294.5,,193866.88976529
2017-09-13,3855.32,,22842.53225552,275.71,,330077.26740091
2017-09-14,3250.4,,36363.92501211,223.85,,517640.07889459
2017-09-15,3740.02,,54488.48241948,260.88,,667715.3795006
2017-09-16,3726.51,,19031.68597217,255.84,,194275.26114785
2017-09-17,3719.97,,11718.88020167,259.66,,127514.7477237
2017-09-18,4100.0,,16906.72338998,298.0,,298160.31829275
2017-09-19,3910.11,,13781.15538642,282.8,,172906.38843809
2017-09-20,3872.06,,9910.40111429,283.55,,108925.71300684
2017-09-21,3617.47,,14978.48542601,258.11,,211091.13505245
2017-09-22,3619.01,,12649.02130076,263.88,,120473.05688255
2017-09-23,3787.33,,6595.93530667,286.03,,79343.8978278
2017-09-24,3669.01,,4692.79090244,283.21,,95448.67822107
2017-09-25,3919.78,,9583.73758911,294.41,,90047.80087125
2017-09-26,3885.09,,5893.22353833,288.77,,64077.24189666
2017-09-27,4200.0,,12072.66869574,309.85,,121905.91012243
2017-09-28,4189.42,,7903.94689054,302.33,,94872.87426245
2017-09-29,4156.99,,10360.83388071,291.88,,165285.97835623
2017-09-30,4339.0,,6235.07845604,301.57,,62093.33386924
2017-10-01,4394.81,,5366.91196997,303.25,,42910.47058427
2017-10-02,4392.71,,8647.75799194,296.72,,62589.24548424
2017-10-03,4307.99,,10606.10621945,292.36,,59960.60279169
2017-10-04,4214.84,,6555.27096872,292.0,,42408.18343628
2017-10-05,4320.04,,6482.32778439,294.89,,44754.00010261
2017-10-06,4362.99,,6441.72560363,307.73,,95965.30843062
2017-10-07,4425.0,,4178.25089288,311.12,,66524.25999297
2017-10-08,4603.49,,7159.77178341,309.2,,44589.14793264
2017-10-09,4769.55,,14273.86832882,297.0,,145514.15882144
2017-10-10,4750.0,,13709.70806252,297.99,,88318.01221504
2017-10-11,4814.99,,7238.87876179,302.0,,45397.39333105
2017-10-12,5440.0,,20097.68845511,302.12,,114002.1952516
2017-10-13,5624.8,,26597.9752588,335.89,,272969.19650775
2017-10-14,5819.13,,8999.20367594,338.37,,91560.24722557
2017-10-15,5693.7,,11817.32828781,336.89,,103363.87991863
2017-10-16,5754.9,,8820.66040004,334.36,,140569.03708849
2017-10-17,5594.0,,9121.4068495,316.37,,117188.42621289
2017-10-18,5574.44,,17620.49150442,313.59,,167629.0127989
2017-10-19,5704.01,,8908.55652227,308.02,,84536.00998177
2017-10-20,5989.1,,16708.981564,303.15,,93615.86032848
2017-10-21,6024.86,,14614.73525277,300.0,,116955.08960367
2017-10-22,6005.05,,10770.42951293,295.14,,62949.25853616
2017-10-23,5905.99,,16446.78333056,285.83,,130465.48008549
2017-10-24,5525.43,,18281.54006372,296.99,,173126.46810102
2017-10-25,5739.97,,14136.58125946,296.76,,73647.31462122
2017-10-26,5891.61,,11850.82718824,295.98,,46575.16530348
2017-10-27,5780.0,,9337.84412481,297.59,,40781.36186865
2017-10-28,5752.01,,5453.79798889,295.11,,27343.87091403
2017-10-29,6140.01,,12509.85515088,303.38,,68441.69707434
2017-10-30,6124.16,,8341.53244599,306.87,,42544.03539724
2017-10-31,6445.01,,15024.49558504,303.51,,61326.79867058
2017-11-01,6783.69,,20571.58188569,290.82,,116206.12030481
2017-11-02,7039.98,,35889.38819701,285.4,,201683.70460013
2017-11-03,7170.01,,24759.33130603,306.0,,121279.13293603
2017-11-04,7412.55,,13668.92328073,301.66,,64936.7892894
2017-11-05,7392.0,,16504.95764862,296.57,,55757.0277432
2017-11-06,6969.76,,24287.52091386,297.32,,89982.42383484
2017-11-07,7126.63,,14505.79432211,292.42,,149216.29427116
2017-11-08,7467.96,,38184.63758966,307.91,,228868.58046192
2017-11-09,7156.0,,18059.36167926,320.72,,163531.79911828
2017-11-10,6577.62,,34072.93239507,298.04,,161078.72458709
2017-11-11,6346.7,,25651.2940802,315.69,,122519.64096539
2017-11-12,5886.35,,52487.43253081,307.1,,178394.5193831
2017-11-13,6535.87,,36435.45627543,315.56,,144149.6345376
2017-11-14,6605.0,,20256.43299376,335.04,,210940.91854212
2017-11-15,7294.0,,27878.77629558,331.81,,132787.77324127
2017-11-16,7838.53,,29352.77615064,330.21,,133360.32118202
2017-11-17,7714.71,,25045.6530014,332.31,,93686.6537577
2017-11-18,7777.01,,14707.53684425,346.6,,108931.36816884
2017-11-19,8031.82,,14765.96963561,354.59,,207184.66996219
2017-11-20,8256.01,,15693.26060594,368.24,,126768.33353275
2017-11-21,8109.0,,31256.2619911,361.51,,199586.86857333
2017-11-22,8250.0,,13690.8317595,381.73,,129296.81489114
2017-11-23,8031.16,,11919.91670069,406.61,,321886.28834087
2017-11-24,8215.01,,14748.71323788,470.98,,340383.99106199
2017-11-25,8795.5,,16482.32785846,466.77,,269164.43646378
2017-11-26,9401.11,,28641.69759252,473.99,,191283.86889318
2017-11-27,9768.71,,25683.3262464,477.53,,232775.83960646
2017-11-28,9949.0,,18960.42673846,468.52,,178477.39782473
2017-11-29,9935.98,,70224.99702034,434.01,,504522.58690876
2017-11-30,9903.0,,42536.31363519,434.0,,362792.40177696
2017-12-01,10869.84,,33257.5736678,463.82,,195042.34530378
2017-12-02,10930.24,,20197.01810153,460.34,,162583.05431314
2017-12-03,11290.0,,31415.80537618,465.0,,168448.63108491
2017-12-04,11643.98,,20180.88652913,468.22,,135879.81871327
2017-12-05,11718.35,,17711.49076161,457.3,,155144.70994105
2017-12-06,14090.0,,51358.74592889,432.49,,350795.74233167
2017-12-07,17390.01,,84528.1023714,433.28,,331265.58132093
2017-12-08,16367.03,,68522.70363443,463.45,,404030.4606077
2017-12-09,15309.98,,41170.50758947,485.04,,546108.72481997
2017-12-10,15290.01,,52882.81594883,447.51,,217508.33886249
2017-12-11,16885.76,,41169.69239233,518.0,,298621.16793715
2017-12-12,17730.12,,38219.40739552,686.82,,880549.7554281
2017-12-13,16689.61,,31867.18168864,711.94,,788838.94576575
2017-12-14,16749.78,,16329.87585067,705.01,,426482.48114599
2017-12-15,17738.67,,28605.3275268,693.5,,317917.74059557
2017-12-16,19650.01,,24853.68358079,703.59,,199898.99237473
2017-12-17,19378.99,,21476.23509637,732.18,,170354.11616159
2017-12-18,19039.01,,26385.52352887,785.65,,315411.709876
2017-12-19,17838.73,,32148.34752127,826.65,,430872.59791515
